22.09.14 21:57
Статистика проекта

                    	Сегменты	  Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	  118134	1099223	               5740714	              6675727	              173	
Осталось:           	  117951	1098638	               5736518	              6671155	              173	
Уникальные:         	   84625	 974570	               5081677	              5924972	              172	
Осталось уникальных:	   84608	 974317	               5080301	              5923386	              172	


Статистика по отдельным файлам:

Имя файла               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (включая пробелы)	Осталось символов (включая пробелы)	Уникальные символы (включая пробелы)	Осталось уникальных символов (включая пробелы)	
pods\perlhack.pod       	            552	               551	                453	                          453	      6096	         6094	            5862	                    5862	                        30653	                           30636	                            29466	                                      29466	                           35655	                              35637	                               34299	                                         34299	
pods\perlhacktips.pod   	            741	               740	                605	                          605	      7575	         7573	            7296	                    7296	                        38799	                           38782	                            37321	                                      37321	                           45258	                              45240	                               43570	                                         43570	
pods\perlhacktut.pod    	            114	               113	                 98	                           98	      1038	         1036	             982	                     982	                         4838	                            4821	                             4508	                                       4508	                            5683	                               5665	                                5312	                                          5312	
pods\perlhaiku.pod      	             35	                34	                 23	                           23	       239	          237	             193	                     193	                         1270	                            1253	                             1046	                                       1046	                            1433	                               1415	                                1173	                                          1173	
pods\perlhist.pod       	            868	               867	                831	                          831	      6296	         6294	            6084	                    6084	                        23599	                           23582	                            22224	                                      22224	                           40636	                              40618	                               38377	                                         38377	
pods\perlhpux.pod       	            400	               399	                381	                          381	      4661	         4659	            4569	                    4569	                        23603	                           23586	                            22915	                                      22915	                           28208	                              28190	                               27414	                                         27414	
pods\perlhurd.pod       	             29	                28	                 23	                           23	       318	          316	             280	                     280	                         1629	                            1612	                             1370	                                       1370	                            1928	                               1910	                                1638	                                          1638	
pods\perlintern.pod     	            937	               937	                772	                          772	      6712	         6712	            5848	                    5848	                        40099	                           40099	                            35870	                                      35870	                           45337	                              45337	                               40510	                                         40510	
pods\perlinterp.pod     	            407	               406	                361	                          361	      5258	         5256	            5154	                    5154	                        24511	                           24494	                            23910	                                      23910	                           29164	                              29146	                               28482	                                         28482	
pods\perlintro.pod      	            422	               421	                360	                          360	      3408	         3406	            3329	                    3329	                        17292	                           17275	                            16810	                                      16810	                           20777	                              20759	                               20247	                                         20247	
pods\perliol.pod        	            534	               533	                476	                          476	      5423	         5421	            5306	                    5306	                        27692	                           27675	                            27053	                                      27053	                           32406	                              32388	                               31695	                                         31695	
pods\perlipc.pod        	           1189	              1188	                931	                          931	     10432	        10430	            9899	                    9899	                        54856	                           54839	                            51705	                                      51705	                           64776	                              64758	                               61078	                                         61078	
pods\perlirix.pod       	             76	                75	                 67	                           67	       690	          688	             640	                     640	                         3535	                            3518	                             3272	                                       3272	                            4164	                               4146	                                3861	                                          3861	
pods\perljp.pod         	            120	               120	                 86	                           86	      1154	         1154	            1093	                    1093	                         6149	                            6149	                             5758	                                       5758	                            7160	                               7160	                                6752	                                          6752	
pods\perlko.pod         	            102	               101	                 83	                           83	      1639	         1637	            1589	                    1589	                         6342	                            6325	                             6024	                                       6024	                            7110	                               7092	                                6777	                                          6777	
pods\perllexwarn.pod    	            345	               344	                221	                          221	      2106	         2104	            2015	                    2015	                        10727	                           10710	                            10177	                                      10177	                           13262	                              13244	                               12253	                                         12253	
pods\perllinux.pod      	             20	                19	                 14	                           14	       236	          234	             187	                     187	                         1252	                            1235	                              997	                                        997	                            1445	                               1427	                                1152	                                          1152	
pods\perllocal.pod      	           2816	              2816	                464	                          464	      9841	         9841	            4571	                    4571	                        50455	                           50455	                            20911	                                      20911	                           54819	                              54819	                               22925	                                         22925	
pods\perllocale.pod     	            611	               610	                527	                          527	      8316	         8314	            8059	                    8059	                        43918	                           43901	                            42514	                                      42514	                           50822	                              50804	                               49195	                                         49195	
pods\perllol.pod        	            220	               219	                175	                          175	      1802	         1800	            1740	                    1740	                         8659	                            8642	                             8361	                                       8361	                           10394	                              10376	                               10034	                                         10034	
pods\perlmacos.pod      	             14	                13	                  8	                            8	       174	          172	             134	                     134	                          834	                             817	                              634	                                        634	                             977	                                959	                                 745	                                           745	
pods\perlmacosx.pod     	            126	               125	                114	                          114	      1930	         1928	            1870	                    1870	                        10017	                           10000	                             9715	                                       9715	                           11564	                              11546	                               11225	                                         11225	
pods\perlmod.pod        	            319	               318	                292	                          292	      4054	         4052	            4023	                    4023	                        20085	                           20068	                            19901	                                      19901	                           23576	                              23558	                               23378	                                         23378	
pods\perlmodinstall.pod 	            226	               225	                150	                          150	      2056	         2054	            1913	                    1913	                        10571	                           10554	                             9836	                                       9836	                           12133	                              12115	                               11324	                                         11324	
pods\perlmodlib.pod     	           2167	              2167	               1922	                         1922	     11054	        11054	           10442	                   10442	                        67447	                           67447	                            63998	                                      63998	                           74132	                              74132	                               70305	                                         70305	
pods\perlmodstyle.pod   	            367	               367	                262	                          262	      3365	         3365	            3232	                    3232	                        17642	                           17642	                            16924	                                      16924	                           20494	                              20494	                               19687	                                         19687	
pods\perlmroapi.pod     	             53	                52	                 41	                           41	       509	          507	             450	                     450	                         2647	                            2630	                             2332	                                       2332	                            3052	                               3034	                                2691	                                          2691	
pods\perlnetware.pod    	            121	               120	                 82	                           82	      1037	         1035	             930	                     930	                         5374	                            5357	                             4796	                                       4796	                            6187	                               6169	                                5552	                                          5552	
pods\perlnewmod.pod     	            131	               130	                120	                          120	      1983	         1981	            1961	                    1961	                         9617	                            9600	                             9513	                                       9513	                           11220	                              11202	                               11105	                                         11105	
pods\perlnumber.pod     	            105	               104	                 90	                           90	      1298	         1296	            1272	                    1272	                         6971	                            6954	                             6831	                                       6831	                            8121	                               8103	                                7966	                                          7966	
pods\perlobj.pod        	            550	               549	                455	                          455	      5634	         5632	            5452	                    5452	                        27962	                           27945	                            27011	                                      27011	                           32707	                              32689	                               31604	                                         31604	
pods\perlootut.pod      	            417	               416	                337	                          337	      4443	         4441	            4135	                    4135	                        22029	                           22012	                            20357	                                      20357	                           25653	                              25635	                               23702	                                         23702	
pods\perlop.pod         	           1797	              1796	               1624	                         1624	     19809	        19807	           19413	                   19413	                       100330	                          100313	                            97834	                                      97834	                          118130	                             118112	                              115299	                                        115299	
pods\perlopenbsd.pod    	             15	                14	                  8	                            8	       189	          187	             136	                     136	                         1017	                            1000	                              728	                                        728	                            1174	                               1156	                                 845	                                           845	
pods\perlopentut.pod    	            579	               578	                510	                          510	      6117	         6115	            5971	                    5971	                        30584	                           30567	                            29776	                                      29776	                           36106	                              36088	                               35191	                                         35191	
pods\perlos2.pod        	           1341	              1340	               1137	                         1137	     15342	        15340	           14815	                   14815	                        77326	                           77309	                            74680	                                      74680	                           89393	                              89375	                               86424	                                         86424	
pods\perlos390.pod      	            231	               230	                174	                          174	      2604	         2602	            2352	                    2352	                        12765	                           12748	                            11450	                                      11450	                           14885	                              14867	                               13389	                                         13389	
pods\perlos400.pod      	             57	                56	                 51	                           51	       796	          794	             757	                     757	                         3854	                            3837	                             3663	                                       3663	                            4506	                               4488	                                4284	                                          4284	
pods\perlpacktut.pod    	            701	               700	                629	                          629	      8523	         8521	            8388	                    8388	                        40513	                           40496	                            39527	                                      39527	                           48664	                              48646	                               47345	                                         47345	
pods\perlperf.pod       	            845	               843	                655	                          655	      6872	         6868	            6404	                    6404	                        37007	                           36973	                            34292	                                      34292	                           46457	                              46421	                               43220	                                         43220	
pods\perlplan9.pod      	             81	                80	                 70	                           70	       802	          800	             757	                     757	                         4278	                            4261	                             4068	                                       4068	                            4946	                               4928	                                4703	                                          4703	
pods\perlpod.pod        	            345	               344	                266	                          266	      3676	         3674	            3557	                    3557	                        18098	                           18081	                            17420	                                      17420	                           20804	                              20786	                               20051	                                         20051	
pods\perlpodspec.pod    	            892	               891	                665	                          665	     10872	        10870	           10331	                   10331	                        55792	                           55775	                            52727	                                      52727	                           65164	                              65146	                               61398	                                         61398	
pods\perlpodstyle.pod   	            145	               144	                133	                          133	      1979	         1977	            1959	                    1959	                         9997	                            9980	                             9896	                                       9896	                           11612	                              11594	                               11502	                                         11502	
pods\perlpolicy.pod     	            208	               207	                172	                          172	      3337	         3335	            3295	                    3295	                        17171	                           17154	                            16942	                                      16942	                           20066	                              20048	                               19810	                                         19810	
pods\perlport.pod       	           1291	              1290	                998	                          998	     13464	        13462	           12843	                   12843	                        68478	                           68461	                            65031	                                      65031	                           80294	                              80276	                               76519	                                         76519	
pods\perlpragma.pod     	             94	                93	                 69	                           69	       822	          820	             797	                     797	                         4041	                            4024	                             3899	                                       3899	                            4719	                               4701	                                4561	                                          4561	
pods\perlqnx.pod        	             76	                75	                 65	                           65	       728	          726	             674	                     674	                         3548	                            3531	                             3289	                                       3289	                            4110	                               4092	                                3811	                                          3811	
pods\perlre.pod         	           1359	              1342	               1214	                         1198	     16699	        16446	           16408	                   16157	                        83895	                           82519	                            82440	                                      81081	                           98493	                              96907	                               96863	                                         95295	
pods\perlreapi.pod      	            449	               448	                393	                          393	      4452	         4450	            4329	                    4329	                        22870	                           22853	                            22219	                                      22219	                           26683	                              26665	                               25938	                                         25938	
pods\perlrebackslash.pod	            391	               389	                340	                          340	      4239	         4235	            4145	                    4145	                        20819	                           20787	                            20373	                                      20373	                           25256	                              25222	                               24745	                                         24745	
